"","date","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","usd_raw","eur_raw","gbp_raw","jpy_raw","cny_raw","gdp_dollar","adj_price","usd_adjusted","eur_adjusted","gbp_adjusted","jpy_adjusted","cny_adjusted","positive","balanced","ordering"
"43",2001-04-01,"MEX","MXN","Mexico",21.9,9.29,2.35737351991389,-0.0719,0.04235,-0.1716,-0.00573,0.97162,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,21
"44",2001-04-01,"MYS","MYR","Malaysia",4.52,3.8,1.18947368421053,-0.5317,-0.47406,-0.58201,-0.49832,-0.00517,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,1
"45",2001-04-01,"NZL","NZD","New Zealand",3.6,2.47,1.45748987854251,-0.42619,-0.35555,-0.48783,-0.38528,0.21899,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,10
"46",2001-04-01,"POL","PLN","Poland",5.9,4.03,1.46401985111663,-0.42361,-0.35266,-0.48553,-0.38252,0.22445,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,11
"47",2001-04-01,"RUS","RUB","Russia",35,28.9,1.21107266435986,-0.5232,-0.46451,-0.57442,-0.48921,0.0129,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,5
"48",2001-04-01,"SGP","SGD","Singapore",3.3,1.81,1.8232044198895,-0.2822,-0.19384,-0.35931,-0.23103,0.52486,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,14
"49",2001-04-01,"SWE","SEK","Sweden",24,10.28,2.33463035019455,-0.08085,0.03229,-0.17959,-0.01533,0.9526,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,20
"50",2001-04-01,"THA","THB","Thailand",55,45.5,1.20879120879121,-0.5241,-0.46552,-0.57522,-0.49017,0.01099,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,4
"51",2001-04-01,"TWN","TWD","Taiwan",70,32.9,2.12765957446809,-0.16234,-0.05922,-0.25232,-0.10262,0.7795,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16
"52",2001-04-01,"ZAF","ZAR","South Africa",9.7,8.13,1.19311193111931,-0.53027,-0.47245,-0.58073,-0.49678,-0.00212,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,2
"53",2002-04-01,"ARG","ARS","Argentina",2.5,3.13,0.798722044728435,-0.67923,-0.66388,-0.72319,-0.60369,-0.37015,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,1
"54",2002-04-01,"AUS","AUD","Australia",3,1.86,1.61290322580645,-0.35225,-0.32125,-0.44103,-0.1997,0.27189,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,11
"55",2002-04-01,"BRA","BRL","Brazil",3.6,2.34,1.53846153846154,-0.38214,-0.35258,-0.46683,-0.23664,0.21319,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,9
"56",2002-04-01,"CAN","CAD","Canada",3.33,1.57,2.12101910828025,-0.14819,-0.10743,-0.26494,0.05241,0.67258,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,18
"57",2002-04-01,"CHE","CHF","Switzerland",6.3,1.66,3.79518072289157,0.52417,0.5971,0.31526,0.8831,1.99277,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,26
